url	name	price	stem_type	feel	pin_count	force	silent	color
https://mechanicalkeyboards.com/products/ktt-purple-click-40g-clicky-plate-mount-switch	KTT Purple Click 40g Clicky Plate Mount Switch	$0.30	MX	Clicky	3	40 cN	No	Purple
https://mechanicalkeyboards.com/products/durock-2023-sea-glass-45g-linear-pcb-mount-lubed	Durock 2023 Sea Glass 45g Linear PCB Mount Lubed Switch	$0.52	MX	Linear	3	45 cN		
https://mechanicalkeyboards.com/products/wuque-studio-brown-55g-tactile-pcb-mount	Wuque Studio Brown 55g Tactile PCB Mount Switch	$0.35	MX	Tactile	5	55 cN	No	Brown
https://mechanicalkeyboards.com/products/gateron-ef-curry-switch	Gateron EF Curry 50g Linear Switch	$0.22	MX	Linear	5	50 cN	No	Orange
https://mechanicalkeyboards.com/products/ktt-rose-45g-linear-pcb-mount-switch	KTT Rose 45g Linear PCB Mount Switch	$0.29	MX	Linear	5	45 cN	No	Pink
https://mechanicalkeyboards.com/products/cherry-mx-black-hyperglide-60g-linear-pcb-mount-switch	Cherry MX Black Hyperglide 60g Linear PCB Mount Switch	$0.40	MX	Linear	5	60 cN	No	Black
https://mechanicalkeyboards.com/products/kailh-box-v2-brown-45g-tactile-pcb-mount-lubed-switch	Kailh BOX V2 Brown 45g Tactile PCB Mount Lubed Switch	$0.35	MX	Tactile	5	45 cN	No	Brown
https://mechanicalkeyboards.com/products/cherry-mx-white-80g-clicky	Cherry MX White 80g Clicky Switch	$0.40	MX	Clicky		80 cN	No	
https://mechanicalkeyboards.com/products/durock-dolphin-silent-62g-linear-pcb-mount	Durock Dolphin Silent 62g Linear PCB Mount Switch	$0.70	MX	Linear	5	67 cN	Yes	Blue
https://mechanicalkeyboards.com/products/kailh-box-navy-75g-clicky-plate-mount	Kailh BOX Navy 75g Clicky Plate Mount Switch	$0.40	MX	Clicky	3	75 cN	No	Navy
https://mechanicalkeyboards.com/products/gateron-ks-33-low-profile-chocolate-20-55g-tactile-plate-mount	Gateron KS-33 Low Profile Chocolate 2.0 55g Tactile Plate Mount Switch	$0.36	MX	Tactile	3	55 cN	No	Brown
https://mechanicalkeyboards.com/products/gateron-smoothie-silver-45g-linear-plate-mount	Gateron Smoothie Silver 45g Linear Plate Mount Switch	$0.34	MX	Linear	5	45 cN	No	Silver
https://mechanicalkeyboards.com/products/wuque-studio-light-tactile-35g	Wuque Studio Light Tactile 35g Switch	$0.45	MX	Tactile	5	50 cN	No	Blue
https://mechanicalkeyboards.com/products/gateron-mountain-top-switch	Gateron Mountain Top 40g Linear Switch	$0.61	MX	Tactile	5	40 cN	No	Yellow
https://mechanicalkeyboards.com/products/kailh-box-v2-red-40g-linear-pcb-mount-lubed	Kailh BOX V2 Red 40g Linear PCB Mount Lubed Switch	$0.35	MX	Linear	5	40 cN	No	Red
